callsign,min_time_date,max_time_date,min_time,max_time,time_diff_seconds,old_altitude,new_altitude,altitude_change_rate,min_speed,max_speed
SWA2215,08-28-2025 22:54:59,08-28-2025 22:56:51,2025-08-28,2025-08-28,82611,0.0,0.0,0.0,6.49,15.01
SWA2227,08-29-2025 04:39:42,08-29-2025 04:51:51,2025-08-29,2025-08-29,17511,0.0,3916.68,0.2236696920583079,0.37,366.45
SWA2229,08-29-2025 05:32:57,08-29-2025 05:35:21,2025-08-29,2025-08-29,20121,0.0,0.0,0.0,7.0,11.51
SWA2246,08-28-2025 23:02:52,08-28-2025 23:04:50,2025-08-28,2025-08-28,83090,0.0,0.0,0.0,0.0,2.0
SWA2266,08-28-2025 22:47:45,08-28-2025 22:52:54,2025-08-28,2025-08-28,82374,0.0,0.0,0.0,0.0,17.01
SWA2307,08-29-2025 04:46:47,08-29-2025 04:58:30,2025-08-29,2025-08-29,17910,0.0,0.0,0.0,0.0,9.51
SWA2326,08-29-2025 05:13:46,08-29-2025 05:33:50,2025-08-29,2025-08-29,20030,0.0,1645.92,0.0821727404784186,0.0,248.13
SWA2347,08-29-2025 04:58:53,08-29-2025 05:08:10,2025-08-29,2025-08-29,18490,0.0,0.0,0.0,0.0,0.0
SWA2441,08-29-2025 05:02:51,08-29-2025 05:23:58,2025-08-29,2025-08-29,19438,1203.96,0.0,-0.0619384707174685,279.0,279.21
SWA2675,08-29-2025 05:05:43,08-29-2025 05:31:44,2025-08-29,2025-08-29,19904,0.0,0.0,0.0,0.12,14.5
SWA2745,08-29-2025 05:40:46,08-29-2025 05:48:47,2025-08-29,2025-08-29,20927,0.0,0.0,0.0,2.51,11.99
SWA2972,08-29-2025 04:29:13,08-29-2025 04:43:58,2025-08-29,2025-08-29,17038,0.0,0.0,0.0,6.01,6.01
SWA3121,08-28-2025 22:25:13,08-28-2025 23:04:53,2025-08-28,2025-08-28,83093,0.0,0.0,0.0,0.12,0.12
SWA3468,08-29-2025 04:36:53,08-29-2025 05:00:04,2025-08-29,2025-08-29,18004,563.88,0.0,-0.0313197065578776,7.5,172.73
SWA361,08-28-2025 22:29:10,08-28-2025 22:29:10,2025-08-28,2025-08-28,80950,2834.64,2834.64,0.0,305.63,305.63
SWA3728,08-29-2025 04:33:03,08-29-2025 04:44:54,2025-08-29,2025-08-29,17094,0.0,5806.44,0.3396770776899667,5.0,411.8
SWA3824,08-29-2025 04:36:39,08-29-2025 04:41:09,2025-08-29,2025-08-29,16869,0.0,0.0,0.0,1.75,17.01
SWA3839,08-29-2025 05:44:51,08-29-2025 05:49:38,2025-08-29,2025-08-29,20978,1112.52,0.0,-0.0530327006719768,255.27,255.27
SWA40,08-28-2025 22:29:00,08-28-2025 23:03:02,2025-08-28,2025-08-28,82982,0.0,0.0,0.0,0.0,3.5
SWA4030,08-29-2025 04:51:53,08-29-2025 05:02:39,2025-08-29,2025-08-29,18159,1211.58,0.0,-0.0667206340287425,265.32,265.32
SWA417,08-29-2025 05:04:00,08-29-2025 05:43:51,2025-08-29,2025-08-29,20631,0.0,0.0,0.0,4.49,4.49
SWA4282,08-29-2025 05:36:49,08-29-2025 05:41:21,2025-08-29,2025-08-29,20481,0.0,0.0,0.0,0.0,12.5
SWA45,08-28-2025 22:25:17,08-28-2025 23:00:50,2025-08-28,2025-08-28,82850,0.0,3886.2,0.0469064573966126,0.0,309.42
SWA4785,08-29-2025 05:09:51,08-29-2025 05:24:03,2025-08-29,2025-08-29,19443,1203.96,0.0,-0.0619225424989839,276.9,276.9
SWA544,08-29-2025 05:39:26,08-29-2025 05:49:47,2025-08-29,2025-08-29,20987,0.0,0.0,0.0,4.0,7.0
SWA61,08-29-2025 04:40:50,08-29-2025 05:47:47,2025-08-29,2025-08-29,20867,1463.04,0.0,-0.0701126176732993,166.18,265.43
SWA62,08-29-2025 05:27:50,08-29-2025 05:36:28,2025-08-29,2025-08-29,20188,1325.88,0.0,-0.0656766392625488,289.46,289.52
SWA6652,08-29-2025 05:20:50,08-29-2025 05:28:08,2025-08-29,2025-08-29,19688,899.16,0.0,-0.0456704589309708,225.82,225.82
SWA900,08-29-2025 04:33:26,08-29-2025 04:33:26,2025-08-29,2025-08-29,16406,0.0,0.0,0.0,1.75,1.75
THY5YR,08-29-2025 05:16:55,08-29-2025 05:16:55,2025-08-29,2025-08-29,19015,2926.08,2926.08,0.0,316.36,316.36
TRF541,08-28-2025 22:25:38,08-28-2025 22:25:38,2025-08-28,2025-08-28,80738,0.0,0.0,0.0,25.0,25.0
XSR324,08-28-2025 22:25:15,08-28-2025 22:25:24,2025-08-28,2025-08-28,80724,0.0,0.0,0.0,6.49,9.51
